country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Belgium,BE,0.313,FALSE,,,,,,,,,
Bulgaria,BG,0.382,FALSE,,,,,,,,,
Czechia,CZ,0.323,FALSE,,,,,,,,,
Denmark,DK,0.325,FALSE,,,,,,,,,
Germany,DE,0.352,FALSE,,,,,,,,,
Estonia,EE,0.322,FALSE,,,,,,,,,
Ireland,IE,0.236,FALSE,,,,,,,,,
Greece,EL,0.367,FALSE,,,,,,,,,
Spain,ES,0.308,FALSE,,,,,,,,,
France,FR,0.348,FALSE,,,,,,,,,
Croatia,HR,0.366,FALSE,,,,,,,,,
Italy,IT,0.384,FALSE,,,,,,,,,
Cyprus,CY,0.265,FALSE,,,,,,,,,
Latvia,LV,0.339,FALSE,,,,,,,,,
Lithuania,LT,0.312,FALSE,,,,,,,,,
Luxembourg,LU,0.217,FALSE,,,,,,,,,
Hungary,HU,0.319,FALSE,,,,,,,,,
Malta,MT,0.265,FALSE,,,,,,,,,
Netherlands,NL,0.318,FALSE,,,,,,,,,
Austria,AT,0.302,FALSE,,,,,,,,,
Poland,PL,0.318,FALSE,,,,,,,,,
Portugal,PT,0.382,FALSE,,,,,,,,,
Romania,RO,0.312,FALSE,,,,,,,,,
Slovenia,SI,0.343,FALSE,,,,,,,,,
Slovakia,SK,0.279,FALSE,,,,,,,,,
Finland,FI,0.378,FALSE,,,,,,,,,
Sweden,SE,0.331,FALSE,,,,,,,,,
